N,P,K,temperature,humidity,ph,rainfall,label,irrigation_requirement
33.74,41.83,56.01,22.44,74.33,7.44,299.53,soybean,5.29
30.44,56.87,59.0,24.43,61.42,6.79,387.55,soybean,8.94
28.2,52.09,31.55,20.49,62.73,6.53,313.13,soybean,6.14
34.73,39.62,35.77,23.09,74.5,6.62,338.94,soybean,6.26
37.3,59.5,37.25,26.81,69.32,6.91,267.72,soybean,6.47
40.31,31.92,47.88,27.4,59.22,7.26,256.07,soybean,7.42
45.31,43.81,36.53,21.34,74.07,6.11,289.82,soybean,4.79
30.43,48.61,46.34,21.26,60.79,6.36,292.71,soybean,6.15
32.33,51.12,36.52,23.67,62.82,7.46,440.93,soybean,9.64
44.0,37.25,32.04,23.17,60.34,6.76,405.55,soybean,9.03
45.75,55.35,40.79,26.87,61.26,6.09,390.31,soybean,9.74
20.29,42.28,39.88,26.93,70.32,6.46,412.33,soybean,9.29
28.82,43.39,51.81,26.93,74.75,6.34,382.46,soybean,8.25
38.29,57.45,34.69,27.52,66.37,6.41,344.89,soybean,8.52
30.01,47.38,56.67,25.69,67.63,6.78,260.23,soybean,6.15
26.99,44.76,39.31,21.82,65.08,6.48,301.62,soybean,6.07
33.92,34.0,57.83,28.68,69.15,6.16,405.18,soybean,9.79
44.24,53.03,33.42,26.44,71.69,6.87,379.28,soybean,8.35
33.75,45.86,31.03,26.39,56.63,6.65,308.53,soybean,8.42
36.36,34.0,50.75,27.95,58.27,6.16,279.1,soybean,8.14
46.31,45.85,44.02,21.07,67.99,7.3,415.64,soybean,7.83
38.78,32.26,33.37,20.49,60.15,6.2,302.01,soybean,6.17
31.55,58.29,48.31,28.35,69.21,6.17,397.18,soybean,9.53
28.25,49.17,40.23,29.98,60.27,6.42,436.13,soybean,11.69
20.74,50.9,51.76,28.36,74.49,7.46,263.06,soybean,6.32
44.66,49.39,49.42,21.28,68.0,7.47,432.36,soybean,8.23
33.17,31.2,40.87,28.26,69.03,6.69,261.02,soybean,6.8
32.81,44.07,57.86,26.41,61.23,6.79,263.21,soybean,7.06
49.18,40.8,44.34,23.55,68.65,6.99,393.06,soybean,8.06
